[2018-01-13 13:49:01.014461][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:49:06.015240][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:49:23.339244][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:49:28.338807][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:49:41.989701][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:49:46.989878][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:50:31.595690][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:50:36.596177][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:50:44.720520][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:50:49.720928][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:51:15.626514][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:51:20.627116][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:51:20.627478][debug] [Client] Received message: 
[2018-01-13 13:51:25.394142][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:51:30.394596][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:51:39.749815][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:51:44.748283][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:51:52.850725][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-13 13:51:57.851238][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-13 13:51:58.680813][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "obc"}}
[2018-01-13 13:52:00.493772][debug] Ping to 0 of size 10 took 1812 ms.
[2018-01-13 13:52:05.348589][debug] [Client] Received message: {"data": [32773, 8, 65534, 65534], "type": "tc"}
[2018-01-13 13:52:07.895948][tm] 0x0100,0x0000,0x0008,0x0FA0,0x0000,0x01C4,0x0142,0x0144,0x0146,0x0143,0x0140,0x013D,0x013A,0x0138,0x0134,0x0133,0x0130,0x012D,0x0131,0x0132,0x0135,0x0136,0x0135,0x0136,0x0132,0x012D,0x012B,0x012B,0x012B,0x0129,0x0129,0x0126
[2018-01-13 13:52:09.175781][tm] 0x0300,0x0001,0x0121,0x011F,0x011E,0x011C,0x011A,0x0117,0x0114,0x0117,0x0119,0x011C,0x011C,0x011D,0x011E,0x011D,0x011E,0x011E,0x011E,0x011D,0x011D,0x011D,0x011D,0x011E,0x0121,0x0122,0x0125,0x0126,0x0126,0x0127,0x0126,0x0124
[2018-01-13 13:52:10.458566][tm] 0x0300,0x0002,0x0123,0x0124,0x0125,0x0126,0x0124,0x0121,0x011B,0x0119,0x0116,0x0114,0x0113,0x0112,0x010E,0x010E,0x010B,0x0107,0x0106,0x0105,0x0105,0x0104,0x0104,0x0105,0x0107,0x0108,0x010A,0x010A,0x010A,0x0109,0x0109,0x010A
[2018-01-13 13:52:11.751583][tm] 0x0300,0x0003,0x010B,0x010D,0x010E,0x0111,0x0113,0x0114,0x0116,0x0113,0x0110,0x010D,0x010D,0x010B,0x010B,0x010B,0x010D,0x010F,0x0112,0x0114,0x0118,0x011A,0x011D,0x0120,0x0120,0x0121,0x0120,0x0121,0x0121,0x0122,0x0122,0x0124
[2018-01-13 13:52:13.044196][tm] 0x0300,0x0004,0x0126,0x0126,0x0126,0x0126,0x0124,0x0121,0x011D,0x011F,0x0122,0x0124,0x0124,0x0125,0x0126,0x0127,0x0127,0x012A,0x012D,0x012E,0x0130,0x012F,0x012C,0x0129,0x0125,0x0122,0x0120,0x0121,0x0124,0x0126,0x0126,0x0126
[2018-01-13 13:52:14.351943][tm] 0x0300,0x0005,0x0126,0x0127,0x0129,0x012A,0x012B,0x012C,0x012E,0x012E,0x012E,0x012D,0x012C,0x012A,0x0127,0x0125,0x0123,0x011D,0x011F,0x0121,0x0124,0x0125,0x0128,0x012C,0x012E,0x0131,0x0133,0x0132,0x0131,0x012E,0x012D,0x012B
[2018-01-13 13:52:15.646736][tm] 0x0300,0x0006,0x0129,0x0129,0x0129,0x012B,0x012D,0x012F,0x0134,0x0136,0x0137,0x013A,0x013A,0x013A,0x0138,0x0137,0x0134,0x012F,0x012C,0x012B,0x0129,0x0128,0x0127,0x0126,0x0125,0x00E2,0x00E9,0x00EC,0x00EF,0x00EC,0x00EA,0x00E7
[2018-01-13 13:52:16.951787][tm] 0x0300,0x0007,0x00E5,0x00E4,0x00E2,0x00E4,0x00E6,0x00EA,0x00E7,0x00E7,0x00E6,0x00E7,0x00E7,0x00EB,0x00EC,0x00EC,0x00EB,0x00EA,0x00E7,0x00E5,0x00E5,0x00E7,0x00EA,0x00EB,0x00EB,0x00EB,0x00EB,0x00EC,0x00ED,0x00F0,0x00F2,0x00F4
[2018-01-13 13:52:18.245354][tm] 0x0300,0x0008,0x00F4,0x00F4,0x00F3,0x00F4,0x00F6,0x00FA,0x00FC,0x00FF,0x0102,0x0101,0x0100,0x0100,0x0102,0x0104,0x0104,0x0102,0x00FF,0x00FB,0x00FC,0x00FD,0x00FF,0x00FC,0x00FA,0x00F6,0x00F6,0x00F6,0x00F6,0x00F8,0x00F9,0x00FB
[2018-01-13 13:52:19.552324][tm] 0x0300,0x0009,0x00FA,0x00F9,0x00F9,0x00FA,0x00FB,0x00FF,0x0100,0x0101,0x0102,0x0102,0x0104,0x0104,0x0100,0x00FD,0x00FB,0x00FD,0x0100,0x0103,0x0102,0x0102,0x0102,0x0101,0x0101,0x0100,0x00FF,0x00FC,0x00F9,0x00FA,0x00FB,0x00FC
[2018-01-13 13:53:01.300867][tm] 0x0300,0x0029,0x00FD,0x00FB,0x00F8,0x00F6,0x00F5,0x00F2,0x00EE,0x00F1,0x00F4,0x00F7,0x00F9,0x00FA,0x00FD,0x00FD,0x00FB,0x00FB,0x00FE,0x0101,0x0105,0x0105,0x0106,0x0107,0x0104,0x0101,0x0100,0x0102,0x0105,0x010A,0x010A,0x010A
[2018-01-13 13:53:02.633703][tm] 0x0300,0x002A,0x0109,0x0107,0x0106,0x0105,0x0105,0x0105,0x0107,0x0109,0x010A,0x010B,0x010A,0x0106,0x0104,0x0104,0x0105,0x0108,0x010B,0x010D,0x010F,0x0112,0x0114,0x0117,0x0115,0x0115,0x0114,0x0115,0x0118,0x011A,0x0119,0x0117
[2018-01-13 13:53:03.954573][tm] 0x0300,0x002B,0x0115,0x0116,0x0117,0x011A,0x0119,0x011A,0x011C,0x011F,0x0122,0x0124,0x0125,0x0125,0x0125,0x0125,0x0123,0x0122,0x0124,0x0125,0x0127,0x0129,0x012B,0x012D,0x012A,0x0127,0x0126,0x0128,0x012A,0x012B,0x012A,0x0126
[2018-01-13 13:53:05.274257][tm] 0x0300,0x002C,0x0122,0x0124,0x0125,0x0127,0x0125,0x0124,0x0121,0x0122,0x0123,0x0124,0x0122,0x0121,0x011F,0x0121,0x011F,0x0121,0x0122,0x0124,0x0125,0x0126,0x0127,0x012A,0x012B,0x012B,0x012C,0x012D,0x012E,0x0130,0x0130,0x012D
[2018-01-13 13:53:06.594220][tm] 0x0300,0x002D,0x012C,0x012C,0x012D,0x012D,0x012D,0x012C,0x012A,0x0128,0x0127,0x0126,0x0124,0x0123,0x0120,0x011F,0x011C,0x0118,0x0118,0x0118,0x0118,0x0118,0x0119,0x0119,0x0116,0x0115,0x0113,0x0112,0x010F,0x010E,0x010D,0x010C
[2018-01-13 13:53:07.913996][tm] 0x0300,0x002E,0x010C,0x010B,0x010A,0x010B,0x010B,0x010B,0x010B,0x010A,0x0108,0x0107,0x0106,0x0105,0x0102,0x0102,0x0100,0x00FD,0x00FE,0x00FF,0x0100,0x0100,0x0102,0x0103,0x0102,0x009D,0x00A5,0x00A9,0x00AD,0x00AF,0x00B0,0x00B1
[2018-01-13 13:53:09.233894][tm] 0x0300,0x002F,0x00B0,0x00B0,0x00AE,0x00B0,0x00B0,0x00B1,0x00B0,0x00AE,0x00AD,0x00AD,0x00AE,0x00B1,0x00AF,0x00AD,0x00AD,0x00AD,0x00AD,0x00AD,0x00AD,0x00AC,0x00AB,0x00AD,0x00B0,0x00B2,0x00B2,0x00B2,0x00B3,0x00B6,0x00BA,0x00BD
[2018-01-13 13:53:10.566734][tm] 0x0300,0x0030,0x00BB,0x00B9,0x00B7,0x00B7,0x00B9,0x00BB,0x00BF,0x00C3,0x00C6,0x00C6,0x00C6,0x00C6,0x00C5,0x00C5,0x00C4,0x00C4,0x00C3,0x00C4,0x00C5,0x00C7,0x00CB,0x00CD,0x00CE,0x00CF,0x00CE,0x00CC,0x00C8,0x00C7,0x00C6,0x00C5
[2018-01-13 13:53:11.886451][tm] 0x0300,0x0031,0x00C5,0x00C5,0x00C5,0x00C4,0x00C4,0x00C2,0x00C0,0x00BE,0x00BE,0x00C1,0x00C4,0x00CA,0x00CD,0x00D1,0x00D2,0x00D1,0x00CF,0x00CC,0x00CD,0x00CC,0x00CD,0x00CF,0x00D1,0x00D4,0x00D6,0x00D9,0x00DC,0x00D9,0x00D6,0x00D4
[2018-01-13 13:53:13.205540][tm] 0x0300,0x0032,0x00D3,0x00D2,0x00D1,0x00D2,0x00D5,0x00DB,0x00DE,0x00E2,0x00E4,0x00E4,0x00E3,0x00E2,0x00E0,0x00DE,0x00DE,0x00E0,0x00E2,0x00E5,0x00E5,0x00E6,0x00E8,0x00E6,0x00E5,0x00E4,0x00E4,0x00E5,0x00E7,0x00E9,0x00EB,0x00ED
[2018-01-13 13:53:14.526030][tm] 0x0300,0x0033,0x00EF,0x00F0,0x00F2,0x00F2,0x00F4,0x00F6,0x00F9,0x00FA,0x00FC,0x00FB,0x00F9,0x00F6,0x00F8,0x00FA,0x00FA,0x00FA,0x00F9,0x00F9,0x00F9,0x00FA,0x00FD,0x00FF,0x0102,0x0105,0x0105,0x0105,0x0105,0x0104,0x0104,0x0103
[2018-01-13 13:53:15.846950][tm] 0x0300,0x0034,0x0103,0x0104,0x0104,0x0103,0x00FF,0x00FB,0x00FE,0x0101,0x0104,0x0103,0x0101,0x0100,0x00FD,0x00FB,0x00FA,0x00F8,0x00F7,0x00F5,0x00F5,0x00F4,0x00F2,0x00F1,0x00F1,0x00EE,0x00ED,0x00EA,0x00E8,0x00EB,0x00EF,0x00F2
[2018-01-13 13:53:17.166848][tm] 0x0300,0x0035,0x00F0,0x00ED,0x00EB,0x00EB,0x00ED,0x00F0,0x00F2,0x00F4,0x00F6,0x00F6,0x00F9,0x00FB,0x00FD,0x0189,0x018E,0x018F,0x0192,0x0192,0x0192,0x0192,0x0193,0x0193,0x0195,0x0195,0x0194,0x0192,0x0191,0x018F,0x018D,0x018C
[2018-01-13 13:53:18.500641][tm] 0x0300,0x0036,0x018A,0x0188,0x0188,0x0187,0x0186,0x0183,0x017E,0x0178,0x0177,0x0176,0x0173,0x016E,0x016A,0x0165,0x0163,0x0162,0x015E,0x015C,0x015B,0x015A,0x015B,0x015A,0x015A,0x0159,0x0155,0x0151,0x0151,0x0151,0x0151,0x014F
[2018-01-13 13:53:19.821388][tm] 0x0300,0x0037,0x014D,0x0148,0x0148,0x0147,0x0147,0x0146,0x0146,0x0144,0x0144,0x0144,0x0142,0x013F,0x013D,0x013A,0x013A,0x0138,0x0136,0x0132,0x012E,0x012B,0x012C,0x012E,0x0130,0x0130,0x0130,0x012F,0x012D,0x012C,0x012A,0x012A
[2018-01-13 13:53:21.141223][tm] 0x0300,0x0038,0x0129,0x0129,0x012A,0x012A,0x0129,0x0127,0x0124,0x0121,0x011F,0x011E,0x011A,0x0119,0x0119,0x0117,0x0117,0x0118,0x0119,0x0118,0x0117,0x0118,0x0119,0x011A,0x011D,0x011D,0x011F,0x0122,0x0122,0x0124,0x0124,0x0122
[2018-01-13 13:53:22.462223][tm] 0x0300,0x0039,0x011F,0x011C,0x011A,0x011A,0x011A,0x011C,0x011E,0x0121,0x011F,0x011E,0x011D,0x011F,0x011F,0x0121,0x0121,0x0122,0x0121,0x011F,0x011C,0x011C,0x011D,0x011F,0x011F,0x011F,0x011C,0x0117,0x0115,0x0113,0x0112,0x0113
[2018-01-13 13:53:23.781982][tm] 0x0300,0x003A,0x0115,0x0117,0x0115,0x0113,0x0112,0x0111,0x010F,0x010E,0x010D,0x010B,0x0107,0x0107,0x0107,0x0108,0x0107,0x0106,0x0105,0x0107,0x0108,0x010A,0x010D,0x010F,0x0113,0x0112,0x010F,0x010B,0x0108,0x0105,0x0102,0x0100
[2018-01-13 13:53:25.100762][tm] 0x0300,0x003B,0x00FE,0x00FB,0x00FA,0x00F9,0x00F8,0x00F9,0x00FA,0x00FB,0x00FD,0x00FF,0x0104,0x0107,0x0109,0x010B,0x010B,0x010B,0x010B,0x010D,0x010F,0x0111,0x0111,0x010F,0x010F,0x010F,0x010E,0x010E,0x010B,0x0109,0x0107,0x0109
[2018-01-13 13:53:26.434285][tm] 0x0300,0x003C,0x010B,0x010E,0x010F,0x0164,0x0166,0x0162,0x015E,0x015B,0x015A,0x0158,0x015A,0x015B,0x015E,0x015E,0x015E,0x015E,0x0160,0x0161,0x0162,0x0160,0x015C,0x0156,0x0157,0x0157,0x0156,0x0154,0x0150,0x014D,0x014D,0x014D
[2018-01-13 13:53:27.755449][tm] 0x0300,0x003D,0x014D,0x014B,0x0149,0x0146,0x0145,0x0145,0x0144,0x0144,0x0144,0x0144,0x0143,0x0142,0x0141,0x0142,0x0144,0x0146,0x0144,0x0142,0x013F,0x0140,0x0141,0x0143,0x0140,0x013E,0x013D,0x013D,0x013E,0x013E,0x013D,0x013A
[2018-01-13 13:53:29.074274][tm] 0x0300,0x003E,0x0136,0x0136,0x0136,0x0136,0x0136,0x0136,0x0137,0x0136,0x0135,0x0135,0x0136,0x0138,0x013A,0x0139,0x013A,0x013A,0x013B,0x013C,0x013D,0x013B,0x0138,0x0134,0x0131,0x012E,0x012B,0x012A,0x0128,0x0125,0x0124,0x0122
[2018-01-13 13:53:30.395943][tm] 0x0300,0x003F,0x011D,0x011C,0x011B,0x0119,0x0118,0x0116,0x0114,0x0118,0x011B,0x011D,0x011D,0x011C,0x011B,0x011B,0x011B,0x011B,0x011C,0x011D,0x011F,0x0120,0x0122,0x0125,0x0124,0x0123,0x0121,0x011F,0x011E,0x011B,0x011A,0x0116
[2018-01-13 13:53:31.715968][tm] 0x0300,0x0040,0x0112,0x0112,0x0111,0x0112,0x0113,0x0114,0x0117,0x0118,0x0119,0x011A,0x0119,0x0116,0x0112,0x0111,0x010E,0x010A,0x010A,0x010B,0x010C,0x010D,0x010D,0x010F,0x010F,0x0111,0x0112,0x0114,0x0116,0x0119,0x0118,0x0116
[2018-01-13 13:53:34.371558][tm] 0x0300,0x0042,0x00FB,0x00FA,0x00F9,0x00F9,0x00F9,0x00FB,0x00FE,0x00FF,0x0100,0x0102,0x0104,0x0105,0x0107,0x0107,0x0106,0x0107,0x0109,0x0109,0x010A,0x010A,0x0108,0x0106,0x0106,0x00F9,0x00FE,0x00FD,0x00FB,0x00F9,0x00F5,0x00F2
[2018-01-13 13:53:37.010132][tm] 0x0300,0x0044,0x00E8,0x00E8,0x00EA,0x00EB,0x00ED,0x00F3,0x00F2,0x00F1,0x00F2,0x00F3,0x00F6,0x00FA,0x00FD,0x0100,0x0104,0x0104,0x0104,0x0104,0x0103,0x0100,0x00FC,0x00FA,0x00FA,0x00FA,0x00FA,0x00FB,0x00FE,0x0100,0x0101,0x0102
[2018-01-13 13:53:38.329039][tm] 0x0300,0x0045,0x00FF,0x00FD,0x00F9,0x00F9,0x00F6,0x00F2,0x00F0,0x00EF,0x00ED,0x00EC,0x00E9,0x00E7,0x00E7,0x00E6,0x00E7,0x00E9,0x00EB,0x00EF,0x00F0,0x00F3,0x00F5,0x00F4,0x00F2,0x00F0,0x00F2,0x00F4,0x00F6,0x00F6,0x00F7,0x00F6
[2018-01-13 13:53:39.663793][tm] 0x0300,0x0046,0x00F4,0x00F2,0x00EE,0x00EE,0x00ED,0x00ED,0x00EB,0x00E9,0x00E7,0x00E7,0x00E7,0x00E7,0x00E4,0x00E2,0x00E0,0x00DE,0x00DB,0x00DA,0x00DB,0x00DE,0x00E4,0x00E3,0x00E2,0x00E3,0x00E3,0x00E4,0x00E5,0x00E7,0x00EA,0x00EA
[2018-01-13 13:53:40.983677][tm] 0x0300,0x0047,0x00E9,0x00E9,0x00E8,0x00E7,0x00E5,0x00E4,0x00E1,0x00DE,0x00DC,0x00DC,0x00DB,0x00DB,0x00DA,0x00D9,0x00D7,0x00D5,0x00D4,0x00D1,0x00CF,0x00CF,0x00CD,0x00CC,0x00CB,0x00CB,0x00CC,0x00CD,0x00D1,0x00D2,0x00D2,0x00D4
[2018-01-13 13:53:42.303171][tm] 0x0300,0x0048,0x00D4,0x00D4,0x00D3,0x00D2,0x00D1,0x00CE,0x00CF,0x00D2,0x00D3,0x00D2,0x00CF,0x00CE,0x00CF,0x00D1,0x00D2,0x00D1,0x00CF,0x00CF,0x00D0,0x00D4,0x00D8,0x00D7,0x00D8,0x00D8,0x00D9,0x00D8,0x00D8,0x00D8,0x00D9,0x00D9
[2018-01-13 13:53:43.610245][tm] 0x0300,0x0049,0x00D9,0x00D7,0x00D6,0x00D6,0x00D5,0x00D4,0x00D5,0x00D6,0x00DA,0x00DC,0x00E0,0x00E2,0x00E0,0x0034,0x0038,0x0038,0x0038,0x0039,0x003B,0x003C,0x003C,0x003B,0x003B,0x003D,0x003F,0x0045,0x0047,0x004A,0x004B,0x004B
[2018-01-13 13:53:44.929049][tm] 0x0300,0x004A,0x004B,0x004B,0x004C,0x004D,0x004F,0x0052,0x0054,0x0059,0x005A,0x005D,0x0063,0x0066,0x0069,0x006F,0x0071,0x0075,0x007A,0x007A,0x007A,0x007A,0x007B,0x007D,0x0080,0x0081,0x0082,0x0085,0x0085,0x0085,0x0085,0x0084
[2018-01-13 13:53:46.250916][tm] 0x0300,0x004B,0x0082,0x0081,0x0084,0x0085,0x0087,0x0087,0x0087,0x0088,0x0089,0x0089,0x008B,0x008D,0x0090,0x0094,0x0097,0x009A,0x00A1,0x00A2,0x00A2,0x00A5,0x00A6,0x00AA,0x00AD,0x00AC,0x00AA,0x00A6,0x00A5,0x00A5,0x00A4,0x00A4
[2018-01-13 13:53:47.571738][tm] 0x0300,0x004C,0x00A3,0x00A4,0x00A4,0x00A5,0x00A7,0x00AA,0x00AC,0x00B0,0x00AF,0x00AE,0x00AE,0x00AE,0x00AE,0x00B0,0x00B2,0x00B5,0x00BA,0x00B8,0x00B7,0x00B5,0x00B6,0x00B6,0x00B8,0x00BA,0x00BD,0x00C3,0x00C6,0x00C9,0x00CD,0x00CD
[2018-01-13 13:53:48.891555][tm] 0x0300,0x004D,0x00CC,0x00CC,0x00CF,0x00D1,0x00D3,0x00D4,0x00D4,0x00D6,0x00D6,0x00D7,0x00D9,0x00DB,0x00DE,0x00E1,0x00E2,0x00E3,0x00E5,0x00E6,0x00E6,0x00E7,0x00E7,0x00EA,0x00ED,0x00ED,0x00ED,0x00ED,0x00EB,0x00EA,0x00E9,0x00E9
[2018-01-13 13:53:50.211489][tm] 0x0300,0x004E,0x00E9,0x00EA,0x00E9,0x00E8,0x00E7,0x00E5,0x00E4,0x00E1,0x00E2,0x00E5,0x00EA,0x00ED,0x00F0,0x00F4,0x00F3,0x00F3,0x00F4,0x00F4,0x00F5,0x00F4,0x00F2,0x00EF,0x00ED,0x00ED,0x00F1,0x00F5,0x00F4,0x00F4,0x00F3,0x00F2
