[2018-01-11 12:53:44.941918][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:53:49.942344][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:53:53.606323][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:53:58.606792][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:01.446478][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:54:06.446994][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:14.350980][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:54:19.351587][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:29.638857][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:54:34.639218][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:35.047487][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "eps"}}
[2018-01-11 12:54:40.047737][debug] Ping to 2 of size 10 took -1 ms.
[2018-01-11 12:54:47.919796][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:54:52.920163][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:54:57.287668][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:55:02.288148][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:55:16.184086][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:55:21.184498][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:55:25.663933][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:55:30.664424][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:55:53.922440][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:55:58.922929][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:56:07.481131][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:56:12.481633][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:56:12.481962][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "obc"}}
[2018-01-11 12:56:17.482081][debug] Ping to 0 of size 10 took -1 ms.
[2018-01-11 12:56:18.810490][debug] [Client] Received message: {"data": [20485, 134, 20487, 28679, 20488, 0, 20485, 181, 20487, 28679, 20488, 0, 32771, 0, 65534, 65534], "type": "tc"}
[2018-01-11 12:56:54.778105][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:56:59.778440][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:57:00.738292][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:57:05.738826][debug] Ping to 5 of size 10 took -1 ms.
[2018-01-11 12:57:06.618285][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:57:07.518744][debug] Ping to 5 of size 10 took 901 ms.
[2018-01-11 12:57:13.811045][debug] [Client] Received message: {"data": [20485, 134, 20487, 28679, 20488, 0, 20485, 181, 20487, 28679, 20488, 0, 32771, 0, 65534, 65534], "type": "tc"}
[2018-01-11 12:57:43.587474][debug] [Client] Received message: {"type": "tnc", "data": {"ping": "trx"}}
[2018-01-11 12:57:43.832130][tm] 0x0200,0x0001,0x0007,0x000B,0x000C,0x003A,0x0011,0x0000,0x0000,0x2065,0x00ED,0x0D3F,0x0BCC,0x0A56,0x0077,0x0001,0x0001,0x0000,0x0000,0x00B4,0x02D0,0x000C,0x0018,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE,0xFFFE
[2018-01-11 12:57:44.761872][debug] Ping to 5 of size 10 took 1174 ms.
[2018-01-11 12:57:49.711963][debug] [Client] Received message: {"data": [32773, 8, 65534, 65534], "type": "tc"}
[2018-01-11 12:57:52.019843][tm] 0x0100,0x0000,0x0008,0x0FA0,0x0000,0x01C3,0x0142,0x0144,0x0146,0x0142,0x013F,0x013D,0x013A,0x0138,0x0134,0x0133,0x0130,0x012E,0x0130,0x0133,0x0135,0x0136,0x0136,0x0136,0x0132,0x012E,0x012A,0x012B,0x012A,0x012A,0x0129,0x0126
[2018-01-11 12:57:53.298573][tm] 0x0300,0x0001,0x0122,0x0120,0x011E,0x011C,0x011A,0x0118,0x0114,0x0117,0x0119,0x011B,0x011C,0x011D,0x011D,0x011E,0x011E,0x011D,0x011D,0x011E,0x011D,0x011D,0x011D,0x011D,0x0120,0x0122,0x0124,0x0125,0x0126,0x0126,0x0126,0x0125
[2018-01-11 12:57:54.579496][tm] 0x0300,0x0002,0x0123,0x0124,0x0125,0x0126,0x0124,0x0121,0x011C,0x0119,0x0116,0x0114,0x0113,0x0112,0x010F,0x010E,0x010B,0x0107,0x0106,0x0105,0x0105,0x0104,0x0104,0x0105,0x0107,0x0108,0x010A,0x010A,0x0109,0x010A,0x0109,0x010A
[2018-01-11 12:57:55.871353][tm] 0x0300,0x0003,0x010B,0x010D,0x010F,0x0112,0x0112,0x0114,0x0116,0x0113,0x0110,0x010E,0x010C,0x010C,0x010B,0x010C,0x010C,0x010F,0x0111,0x0115,0x0118,0x011A,0x011D,0x0121,0x0120,0x0120,0x0120,0x0121,0x0120,0x0121,0x0122,0x0124
[2018-01-11 12:57:57.165219][tm] 0x0300,0x0004,0x0126,0x0126,0x0126,0x0126,0x0124,0x0121,0x011D,0x011F,0x0121,0x0124,0x0124,0x0125,0x0126,0x0126,0x0127,0x012A,0x012C,0x012F,0x0130,0x012F,0x012D,0x0129,0x0125,0x0123,0x011F,0x0121,0x0124,0x0125,0x0126,0x0126
[2018-01-11 12:57:58.473108][tm] 0x0300,0x0005,0x0127,0x0127,0x0129,0x012B,0x012B,0x012C,0x012E,0x012E,0x012E,0x012D,0x012C,0x012A,0x0126,0x0125,0x0122,0x011D,0x011F,0x0122,0x0124,0x0126,0x0128,0x012C,0x0130,0x0132,0x0134,0x0132,0x0131,0x012E,0x012D,0x012B
[2018-01-11 12:57:59.766030][tm] 0x0300,0x0006,0x0129,0x0129,0x012A,0x012B,0x012C,0x0130,0x0134,0x0136,0x0138,0x013A,0x013A,0x013A,0x0139,0x0138,0x0134,0x012E,0x012C,0x012B,0x0129,0x0129,0x0127,0x0125,0x0124,0x00E2,0x00E9,0x00EB,0x00EF,0x00EC,0x00EA,0x00E7
[2018-01-11 12:58:01.073722][tm] 0x0300,0x0007,0x00E6,0x00E4,0x00E2,0x00E3,0x00E6,0x00EA,0x00E8,0x00E7,0x00E6,0x00E7,0x00E9,0x00EB,0x00EB,0x00EC,0x00EC,0x00E9,0x00E7,0x00E5,0x00E5,0x00E7,0x00EA,0x00EA,0x00EB,0x00EB,0x00EC,0x00EC,0x00ED,0x00EF,0x00F2,0x00F4
[2018-01-11 12:58:02.379470][tm] 0x0300,0x0008,0x00F4,0x00F3,0x00F3,0x00F4,0x00F5,0x00FA,0x00FD,0x00FF,0x0102,0x0101,0x0100,0x0100,0x0102,0x0104,0x0105,0x0102,0x00FF,0x00FB,0x00FC,0x00FE,0x00FF,0x00FC,0x00FA,0x00F6,0x00F6,0x00F6,0x00F6,0x00F8,0x00FA,0x00FA
