"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
26 Sep 2017 00:00:00.000,-63.375,127.629,521.554677,-0.060404,-0.044605,0.013877
26 Sep 2017 00:01:00.000,-66.974,124.601,522.333687,-0.059513,-0.057219,0.012045
26 Sep 2017 00:02:00.000,-70.506,120.621,522.995703,-0.058115,-0.077020,0.009983
26 Sep 2017 00:03:00.000,-73.929,115.100,523.527964,-0.055740,-0.109982,0.007727
26 Sep 2017 00:04:00.000,-77.155,106.926,523.919923,-0.051311,-0.168190,0.005314
26 Sep 2017 00:05:00.000,-79.995,93.989,524.163424,-0.042241,-0.272700,0.002786
26 Sep 2017 00:06:00.000,-82.027,73.132,524.252850,-0.023366,-0.425424,0.000186
26 Sep 2017 00:07:00.000,-82.558,44.715,524.185215,0.006716,-0.487227,-0.002441
26 Sep 2017 00:08:00.000,-81.307,18.791,523.960221,0.032936,-0.359011,-0.005051
26 Sep 2017 00:09:00.000,-78.860,1.654,523.580271,0.046925,-0.221335,-0.007599
26 Sep 2017 00:10:00.000,-75.821,-8.924,523.050437,0.053563,-0.139330,-0.010040
26 Sep 2017 00:11:00.000,-72.496,-15.790,522.378380,0.056929,-0.093850,-0.012332
26 Sep 2017 00:12:00.000,-69.019,-20.562,521.574234,0.058811,-0.067480,-0.014436
26 Sep 2017 00:13:00.000,-65.453,-24.087,520.650446,0.059960,-0.051228,-0.016314
26 Sep 2017 00:14:00.000,-61.831,-26.822,519.621572,0.060716,-0.040639,-0.017934
26 Sep 2017 00:15:00.000,-58.172,-29.030,518.504046,0.061245,-0.033412,-0.019265
26 Sep 2017 00:16:00.000,-54.485,-30.873,517.315905,0.061635,-0.028288,-0.020284
26 Sep 2017 00:17:00.000,-50.777,-32.452,516.076493,0.061935,-0.024542,-0.020972
26 Sep 2017 00:18:00.000,-47.054,-33.836,514.806137,0.062173,-0.021733,-0.021315
26 Sep 2017 00:19:00.000,-43.317,-35.073,513.525799,0.062369,-0.019584,-0.021304
26 Sep 2017 00:20:00.000,-39.570,-36.196,512.256723,0.062533,-0.017913,-0.020940
26 Sep 2017 00:21:00.000,-35.814,-37.230,511.020059,0.062672,-0.016598,-0.020226
26 Sep 2017 00:22:00.000,-32.050,-38.193,509.836504,0.062792,-0.015555,-0.019173
26 Sep 2017 00:23:00.000,-28.279,-39.101,508.725927,0.062894,-0.014724,-0.017798
26 Sep 2017 00:24:00.000,-24.503,-39.963,507.707021,0.062981,-0.014062,-0.016122
26 Sep 2017 00:25:00.000,-20.722,-40.791,506.796968,0.063055,-0.013538,-0.014175
26 Sep 2017 00:26:00.000,-16.936,-41.590,506.011124,0.063115,-0.013130,-0.011989
26 Sep 2017 00:27:00.000,-13.148,-42.368,505.362743,0.063164,-0.012821,-0.009601
26 Sep 2017 00:28:00.000,-9.357,-43.131,504.862732,0.063200,-0.012599,-0.007051
26 Sep 2017 00:29:00.000,-5.564,-43.882,504.519451,0.063224,-0.012456,-0.004385
26 Sep 2017 00:30:00.000,-1.770,-44.627,504.338560,0.063236,-0.012387,-0.001647
26 Sep 2017 00:31:00.000,2.024,-45.370,504.322915,0.063236,-0.012389,0.001115
26 Sep 2017 00:32:00.000,5.818,-46.115,504.472513,0.063224,-0.012463,0.003853
26 Sep 2017 00:33:00.000,9.610,-46.867,504.784497,0.063200,-0.012611,0.006519
26 Sep 2017 00:34:00.000,13.401,-47.630,505.253206,0.063164,-0.012839,0.009069
26 Sep 2017 00:35:00.000,17.190,-48.409,505.870286,0.063115,-0.013155,0.011457
26 Sep 2017 00:36:00.000,20.975,-49.210,506.624844,0.063055,-0.013570,0.013644
26 Sep 2017 00:37:00.000,24.756,-50.040,507.503651,0.062981,-0.014103,0.015593
26 Sep 2017 00:38:00.000,28.532,-50.906,508.491387,0.062893,-0.014775,0.017270
26 Sep 2017 00:39:00.000,32.303,-51.816,509.570920,0.062790,-0.015619,0.018648
26 Sep 2017 00:40:00.000,36.067,-52.784,510.723621,0.062671,-0.016679,0.019706
26 Sep 2017 00:41:00.000,39.823,-53.823,511.929696,0.062530,-0.018015,0.020425
